recipe_title,category,subcategory,description,ingredients,directions,num_ingredients,num_steps
Farmer's Casserole,Breakfast And Brunch,Breakfast Casseroles,"Layer the ingredients for this farmer's casserole in a baking dish the night before, then cover and refrigerate. In the morning, pop the casserole into the oven about an hour before serving. Serve with melon wedges, fresh strawberries, and orange wedges.","[""cooking spray"", ""3 cups frozen hash brown potatoes"", ""\u00be cup shredded pepper Jack cheese"", ""1 cup cooked ham, diced"", ""\u00bc cup chopped green onions"", ""1 (12 fluid ounce) can evaporated milk"", ""4 large eggs, beaten"", ""\u00bc teaspoon ground black pepper"", ""\u215b teaspoon salt""]","[""Preheat the oven to 350 degrees F (175 degrees C)."", ""Spray a 2-quart casserole dish with cooking spray."", ""Arrange hash brown potatoes evenly in the bottom of the prepared dish. Sprinkle with pepper Jack cheese, then ham, and finally green onions."", ""Whisk evaporated milk, eggs, pepper, and salt together in a medium bowl; pour over layers in the baking dish."", ""Bake in the preheated oven until a knife inserted in the center comes out clean, 40 to 45 minutes."", ""Remove from the oven and let rest for 5 minutes before serving.""]",9,6
Breakfast Casserole,Breakfast And Brunch,Breakfast Casseroles,This delicious breakfast casserole with sausage and cream of mushroom soup is the perfect start to any morning.,"[""1 pound breakfast sausage"", ""6 eggs"", ""2 1/2 cups milk, divided"", ""\u00be teaspoon dry mustard powder"", ""\u00bd teaspoon salt"", ""8 slices bread, cubed"", ""4 cups shredded Cheddar cheese"", ""1 (10.5 ounce) can condensed cream of mushroom soup""]","[""Grease a 9x13-inch baking dish."", ""Cook sausage in a large skillet over medium-high heat until evenly browned, crumbly, and no longer pink in the center, 7 to 9 minutes. Drain and discard any excess grease."", ""While the sausage is cooking, whisk eggs in a mixing bowl until smooth. Whisk in 2 cups milk, mustard powder, and salt until evenly blended."", ""Spread bread cubes into the prepared dish; sprinkle sausage over top, then Cheddar cheese. Pour egg mixture over the entire dish. Cover and refrigerate, 8 hours to overnight."", ""When ready to bake, preheat the oven to 300 degrees F (150 degrees C)."", ""Remove casserole from the refrigerator and uncover. Whisk condensed soup and remaining 1/2 cup milk together in a bowl; pour mixture over casserole."", ""Bake in the preheated oven until firm and golden brown, about 1 1/2 hours.""]",8,7
"Cheesy Bacon, Sausage, and Egg Hash Brown Skillet",Breakfast And Brunch,Breakfast Casseroles,"This cheesy hash brown skillet with bacon, sausage, and egg is a scrumptious, easy breakfast. Garnish with 2 thinly sliced green onions, if desired.","[""6 slices bacon, cut into 1-inch pieces"", ""1 link smoked pineapple-bacon chicken sausage, cut into slices"", ""1 tablespoon canola oil"", ""1 teaspoon butter"", ""2 \u00bd cups frozen hash brown potatoes, thawed"", ""\u00bd onion, chopped"", ""\u00be teaspoon garlic powder, divided"", ""\u00bd teaspoon onion powder"", ""\u00bc teaspoon salt, or more to taste"", ""\u00bc teaspoon ground black pepper, or more to taste"", ""1 cup shredded Cheddar cheese"", ""6 large eggs"", ""1 tablespoon milk""]","[""Preheat the oven to 350 degrees F (175 degrees C)."", ""Place bacon in a 10-inch skillet and cook over medium heat, stirring occasionally, until crisp, about 10 minutes. Use a slotted spoon to remove bacon to a paper towel-lined small bowl. Discard 1/2 of the bacon fat using a spoon."", ""Cook sausage in remaining bacon fat in the hot skillet until browned on both sides, about 5 minutes. Remove to the bowl with bacon."", ""Heat canola oil and butter in the same skillet over medium heat. Add hash browns and onion. Stir in 1/2 teaspoon garlic powder, onion powder, salt, and black pepper. Spread hash brown mixture evenly in the skillet; cook, undisturbed, until browned, about 5 minutes. Turn hash browns over and sprinkle with Cheddar cheese."", ""Whisk together eggs, milk, and remaining 1/4 teaspoon garlic powder in a medium bowl; season with salt and pepper. Pour egg mixture over cheese-covered hash browns in the skillet. Sprinkle the top with bacon and sausage pieces."", ""Bake in the preheated oven until the top is puffed, cheese is melted, and a knife inserted into the center comes out clean, 10 to 15 minutes.""]",13,6
Fast and Fabulous Egg and Cottage Cheese Casserole,Breakfast And Brunch,Breakfast Casseroles,"This cottage cheese egg bake is the easiest and best casserole I have tried so far. My sweet mother-in-law shared this recipe with me. I make 3 or 4 at a time and keep them in the freezer to take to gatherings, feed guests, or surprise kids. Green chiles make it pop!","[""cooking spray"", ""2 (16 ounce) packages cottage cheese"", ""10 large eggs, beaten"", ""1 pound shredded Monterey Jack cheese"", ""1 (4 ounce) can diced green chiles"", ""\u00bd cup butter, melted (Optional)"", ""\u00bd cup all-purpose flour"", ""\u00bd cup cooked crumbled bacon (Optional)"", ""1 teaspoon baking powder""]","[""Preheat the oven to 400 degrees F (200 degrees C). Grease a 10x13-inch baking dish with cooking spray."", ""Mix together cottage cheese, beaten eggs, Monterey Jack cheese, green chiles, melted butter, flour, bacon, and baking powder in a large bowl until well combined; pour into the prepared baking dish."", ""Bake in the preheated oven for 15 minutes. Reduce heat to 350 degrees F (175 degrees C) and continue baking until a toothpick inserted into the center of casserole comes out clean, about 30 minutes more.""]",9,3
Wake-Up Casserole,Breakfast And Brunch,Breakfast Casseroles,This hash brown patty casserole is a quick and easy breakfast.,"[""cooking spray"", ""8 frozen hash brown patties"", ""4 cups shredded Cheddar cheese"", ""1 pound cooked ham, cut into cubes"", ""7 large eggs"", ""1 cup milk"", ""\u00bd teaspoon salt"", ""\u00bd teaspoon ground mustard""]","[""Gather all ingredients. Preheat the oven to 350 degrees F (175 degrees C). Grease a 9x13-inch baking dish with cooking spray."", ""Arrange hash brown patties in the prepared baking dish. Sprinkle Cheddar cheese and ham over patties."", ""Whisk together eggs, milk, salt, and mustard in a large bowl until well combined; pour over ham. Cover the baking dish with aluminum foil."", ""Bake in the preheated oven for 1 hour. Remove foil and continue baking until the edges are golden brown and a knife inserted into the center comes out clean, about 15 minutes more.""]",8,4
Amazing Muffin Cups,Breakfast And Brunch,Breakfast Casseroles,"Breakfast egg muffins with hash browns acting as the crust. Filled with eggs, sausage, red bell pepper, and cheese, these hash brown muffins make a delicious breakfast that will feed a crowd.","[""12 links Johnsonville\u00ae Original breakfast sausage"", ""3 cups frozen country style shredded hash brown potatoes, thawed"", ""3 tablespoons butter, melted"", ""\u215b teaspoon salt"", ""\u215b teaspoon pepper"", ""2 cups shredded 4-cheese Mexican blend cheese"", ""6 large eggs, lightly beaten"", ""\u00bc cup chopped red bell pepper"", ""1 teaspoon chopped fresh chives, or to taste""]","[""Preheat the oven to 400 degrees F (200 degrees C). Grease a 12-cup muffin pan."", ""Heat a nonstick skillet over medium-low heat. Add sausage links and cook, turning frequently, until well browned, 12 to 16 minutes. An instant-read thermometer inserted into the center should read 160 degrees F (70 degrees C)."", ""While the sausage is cooking, mix hash browns, melted butter, salt, and pepper together in a bowl until well combined. Press mixture into the bottom and sides of the prepared muffin cups."", ""Bake in the preheated oven until lightly browned, about 12 minutes."", ""Cut sausage into 1/2-inch pieces. Stir cheese, beaten eggs, and bell pepper together in a bowl."", ""Remove hash brown crusts from the oven. Divide sausage between crusts, then spoon egg mixture over top. Sprinkle with chives."", ""Return to the oven and bake until set, 13 to 15 minutes.""]",9,7
Sausage Hashbrown Breakfast Casserole,Breakfast And Brunch,Breakfast Casseroles,"This breakfast casserole recipe is made with hash browns, sausage, eggs, and cheese — what's not to love? It can be made ahead of time and refrigerated until you're ready to bake it. It's great for a work potluck, an overnight guest, or an easy breakfast on Christmas morning!","[""cooking spray"", ""2 pounds bulk spicy breakfast sausage"", ""2 pounds frozen hash brown potatoes"", ""2 cups shredded Cheddar cheese"", ""1 (7 ounce) can green chile peppers (Optional)"", ""8 large eggs"", ""2 cups milk"", ""1 teaspoon salt"", ""\u00bd teaspoon ground black pepper"", ""\u00bd teaspoon onion powder"", ""\u00bd teaspoon garlic powder""]","[""Preheat the oven to 350 degrees F (175 degrees C). Spray a 9x13-inch baking dish with cooking spray."", ""Cook and stir sausage in a hot skillet over medium heat until crumbly and no longer pink, 5 to 7 minutes. Drain and discard grease, and transfer sausage to a bowl."", ""Cook hash browns in the skillet in the residual grease over medium heat, stirring occasionally, until lightly browned, about 8 minutes. Remove from the heat."", ""Transfer hash browns to the prepared baking dish and spread in an even layer across the bottom. Sprinkle cooked sausage over top, then layer with Cheddar cheese and chile peppers."", ""Whisk milk, eggs, salt, pepper, onion powder, and garlic powder together in a bowl. Pour over hash brown mixture."", ""Bake casserole, uncovered, in the preheated oven until bubbly and the top is golden brown, 35 to 40 minutes.""]",11,6
Christmas Morning Egg Casserole,Breakfast And Brunch,Breakfast Casseroles,This was the casserole my mom made every year for Christmas morning.,"[""cooking spray (such as Pam\u00ae)"", ""2 cups diced cooked ham"", ""2 tablespoons butter, or as needed"", ""7 slices bread, crusts removed"", ""\u00bd pound American cheese, cubed"", ""3 cups milk"", ""6 eggs, beaten"", ""\u00be teaspoon dry mustard"", ""\u00be teaspoon salt""]","[""Gather all ingredients."", ""Spray a 9x13-inch casserole dish with cooking spray."", ""Spread ham into the bottom of prepared casserole dish. Butter one side of each bread slice; cut slices into cubes. Arrange buttered bread cubes atop ham; layer American cheese over bread cubes."", ""Whisk milk, eggs, mustard powder, and salt together in a bowl; pour over American cheese layer. Cover dish with aluminum foil and refrigerate 8 hours or overnight."", ""Preheat oven to 350 degrees F (175 degrees C). Remove aluminum foil from casserole."", ""Bake in the preheated oven until cheese is melted and eggs are set in the middle, about 1 hour.""]",9,6
Sausage Egg Muffins,Breakfast And Brunch,Breakfast Casseroles,"These sausage and egg muffins are a quick and easy morning or afternoon snack. I use standard muffin pans and fill them 1⁄3 full, but you can adjust the amount of filling to suit your taste.","[""\u00bd pound ground pork sausage"", ""12 large eggs, beaten"", ""1 small onion, chopped"", ""\u00bd (4 ounce) can chopped green chile peppers, drained"", ""1 teaspoon garlic powder"", ""salt and pepper to taste""]","[""Preheat the oven to 350 degrees F (175 degrees C). Lightly grease a 12-cup muffin tin."", ""Cook sausage in a large skillet over medium-high heat until browned and crumbly, 5 to 7 minutes. Drain."", ""Combine eggs, onion, and chile peppers in a large bowl. Add sausage, salt, and pepper; mix until well combined. Spoon 1/4 cup sausage mixture into each of the prepared muffin cups."", ""Bake in the preheated oven until eggs are set and a toothpick inserted into the center comes out clean, 15 to 20 minutes.""]",6,4
Egg and Sausage Casserole,Breakfast And Brunch,Breakfast Casseroles,"This egg and sausage casserole is easy to make and always a hit. The recipe was given to me by a friend several years ago. Co-workers beg for it, and it's my husband's favorite!","[""1 pound pork sausage"", ""8 eggs, beaten"", ""2 cups shredded mozzarella cheese"", ""2 cups shredded Cheddar cheese"", ""1 teaspoon dried oregano"", ""1 (8 ounce) package refrigerated crescent roll dough""]","[""Preheat the oven to 325 degrees F (165 degrees C). Lightly grease a 9x13-inch baking dish."", ""Cook sausage in a large, deep skillet over medium-high heat, until evenly browned, 7 to 9 minutes. Drain and crumble into small pieces."", ""Mix beaten eggs, mozzarella, Cheddar, and oregano together in a large bowl."", ""Line the bottom of the prepared baking dish with crescent roll dough, then sprinkle crumbled sausage over top. Pour egg mixture over sausage."", ""Bake in the preheated oven until a knife inserted into the center comes out clean, 25 to 30 minutes.""]",6,5
Sausage Hash Brown Breakfast Casserole,Breakfast And Brunch,Breakfast Casseroles,This sausage and hash brown breakfast casserole with a make-ahead option is super easy and actually good. It's also great if you add a little onion.,"[""1 pound hot pork sausage"", ""1 cup milk"", ""3 large eggs, beaten"", ""1 \u00bd teaspoons salt, divided"", ""1/2 (30 ounce) package frozen hash brown potatoes, thawed"", ""1 cup shredded Cheddar cheese"", ""1/2 teaspoon ground black pepper""]","[""Gather all ingredients. Preheat the oven to 350 degrees F (175 degrees C). Grease a 9-inch square baking dish or a 9-inch, deep-dish pie plate."", ""Cook sausage in a large skillet over medium-high heat until browned and crumbly, 5 to 7 minutes. Drain and discard grease."", ""Whisk milk, eggs, and 1 teaspoon salt together in a bowl."", ""Transfer cooked sausage to a large bowl. Add hash browns, Cheddar, pepper, and remaining 1/2 teaspoon salt; stir well to combine."", ""Spread in an even layer in the prepared baking dish, then pour egg mixture evenly over top."", ""Bake in the preheated oven until bubbling and golden, about 45 minutes."", ""Enjoy!""]",7,7
Reese's Cup Overnight Oats,Breakfast And Brunch,Breakfast Cereals,These Reese's Cup overnight oats prove that the flavors of overnight oats are limited only by your imagination. These peanut butter and chocolate oats have a decadent dessert vibe with a side of slightly good-for-you.,"[""1/2 cup quick oats"", ""1/2 cup chocolate protein shake"", ""1/4 cup Greek yogurt, such as"", ""1 tablespoon sugar-free peanut butter syrup"", ""2 tablespoons chocolate chips"", ""1 tablespoon peanut butter""]","[""Combine oats, protein shake, Greek yogurt, and peanut butter syrup in a mason jar with a tight-fitting lid and stir well. Close the lid and refrigerate overnight."", ""Add chocolate chips to a microwave-safe bowl. Microwave on High in 30 second intervals, stirring until smooth. Pour melted chocolate on top of oats. Add peanut butter in small dollops, and swirl into melted chocolate.""]",6,2
Blueberry Baked Oats,Breakfast And Brunch,Breakfast Cereals,"These blueberry baked oats are a tasty high-protein breakfast with a subtle dessert vibe. A blender mix with eggs, oats, and cottage cheese bake with blueberries on top in individual servings.","[""1 cup cottage cheese"", ""4 large eggs"", ""1 tablespoon agave syrup"", ""2 teaspoons vanilla bean paste"", ""1 cup quick oats"", ""2 teaspoons baking powder"", ""2 tablespoons sugar-free cheesecake pudding mix"", ""1 cup blueberries, or as needed""]","[""Preheat the oven to 350 degrees F (180 degrees C). Spray 4 (6 to 8 ounce) oven-proof glass dishes with cooking spray."", ""Meanwhile combine cottage cheese, eggs, agave syrup, vanilla, oats, baking powder, and pudding mix in the jar of a high powered blender. Blend on high for 1 minute. Divide batter evenly between prepared dishes. Sprinkle blueberries on top."", ""Bake in the preheated oven until set, about 25 minutes.""]",8,3
Overnight Baked Oatmeal,Breakfast And Brunch,Breakfast Cereals,"This overnight baked oatmeal has a tender, yet chewy texture, fun flavor combination ideas, and just the right amount of sweetness and spice.","[""2 large eggs"", ""2 cups milk or unsweetened plant milk of your choice"", ""1/4 cup maple syrup"", ""1/4 cup packed brown sugar"", ""1 teaspoon vanilla extract"", ""1 teaspoon ground cinnamon"", ""1/2 teaspoon salt"", ""2 cups rolled oats (not quick cooking)"", ""1/3 cup amaranth""]","[""Gather all ingredients."", ""Grease a 2-quart rectangular baking dish."", ""Whisk eggs, milk, maple syrup, brown sugar, vanilla, cinnamon, and salt together in the prepared dish."", ""Stir in oats and amaranth. If desired, stir in flavor variation mix-ins (see below)."", ""Cover and chill at least overnight or up to 3 days."", ""Preheat the oven to 350 degrees F (180 degrees C). Uncover and stir to re-incorporate all of the ingredients."", ""Bake, uncovered, until golden brown and the center is set, 45 to 55 minutes."", ""Let stand 10 minutes before serving. Serve warm.""]",9,8
Carrot Cake Baked Oatmeal,Breakfast And Brunch,Breakfast Cereals,"This carrot cake baked oatmeal, with carrots, raisins, walnuts, and spices reminiscent of carrot cake, can be made ahead, cut into squares, and reheated as needed. Sprinkle with confectioner's sugar or serve with maple syrup if you'd like it sweeter.","[""2 1/3 cups rolled oats"", ""1/2 cup walnuts"", ""2 teaspoons cinnamon"", ""1 teaspoon baking powder"", ""1/2 teaspoon pumpkin pie spice"", ""1/2 teaspoon salt"", ""1/3 cup maple syrup"", ""1 3/4 cups half-and-half"", ""1 large egg"", ""2 tablespoons unsalted butte"", ""2 teaspoons vanilla bean paste"", ""2 carrots"", ""1 cup golden raisins""]","[""Gather the ingredients. Preheat the oven to 375 degrees F (190 degrees C). Spray a 9x13-inch baking dish with nonstick spray. Set aside."", ""Stir oats, 1/4 cup walnuts, cinnamon, baking powder, pumpkin pie spice, and salt together in a bowl. Whisk maple syrup, half-and-half, egg, butter, and vanilla bean paste together in another bowl; stir into oat mixture."", ""Place carrots in a microwave-safe bowl; microwave on High for 45 seconds. Stir carrots and raisins into oat mixture; pour into the prepared baking dish. Sprinkle remaining nuts on top."", ""Bake in the preheated oven until the top is nicely golden and a toothpick inserted near the center comes out clean, 25 to 35 minutes."", ""Remove from the oven to cool completely. Cut into squares to serve.""]",13,5
Puppy Chow Crispy Treats,Breakfast And Brunch,Breakfast Cereals,Our two favorite no-bake desserts combined into one irresistible bar.,"[""6 ounces 72% dark chocolate chips (such as Ghirardelli)"", ""3/4 cup creamy peanut butter (such as Skippy)"", ""8 tablespoons butter, cut into 1 tablespoon pieces, divided"", ""1/2 teaspoon kosher salt"", ""1 (12-ounce) box rice cereal squares (such as Rice Chex)"", ""1 cup plus 1 tablespoon powdered sugar, divided"", ""8 cups miniature marshmallows (from 2 [10 ounce] packages)"", ""cooking spray"", ""2 tablespoons creamy peanut butter (such as Skippy)""]","[""Gather all ingredients."", ""Place chocolate chips, 3/4 cup peanut butter, and 4 tablespoons butter in a large microwave-safe heatproof bowl. Microwave on high until melted and smooth, stirring every 30 seconds, 1 \u00bd to 2 minutes; stir in salt."", ""Place cereal into a very large bowl. Pour melted chocolate mixture over cereal; fold until cereal is evenly coated. Let rest for 15 minutes. Rinse and dry bowl used to melt chocolate mixture and set aside."", ""Add 1 cup powdered sugar to cereal mixture; fold until evenly coated (it's ok if some powdered sugar dissolves). Spread into an even layer on a large-rimmed, parchment-lined baking sheet and set aside. Rinse and dry bowl used to coat cereal mixture and set aside."", ""Place remaining 4 tablespoons butter and marshmallows in reserved large bowl. Microwave on high until marshmallows have puffed and start turning into one mass, about 45 seconds. Stir well and add 2 tablespoons peanut butter. Microwave for 30 more seconds, and stir again until smooth. Place cereal mixture back into reserved very large bowl and pour marshmallow mixture over cereal. Quickly fold and stir until evenly coated."", ""Spray a 13-x 9-inch baking pan with cooking spray. Spread cereal mixture into pan, lightly pressing into an even layer; let sit at room temperature until set, about 1 hour."", ""Sift remaining 1 tablespoon powdered sugar over cereal mixture, cut into 12 (3-x-3.25- inch) pieces and serve.""]",9,7
Caramel Apple Overnight Oats,Breakfast And Brunch,Breakfast Cereals,This sweetly spiced breakfast will get you in the fall spirit.,"[""2 cups rolled oats"", ""2 cups apple cider"", ""1 cup yogurt"", ""3 tablespoons caramel sauce"", ""1 tablespoon chia seeds"", ""3/4 teaspoon apple pie spice"", ""2 cups Granny Smith apples"", ""M&M'S""]","[""Gather all ingredients."", ""Stir together oats, apple cider, yogurt, caramel sauce, chia seeds, apple pie spice, and 1 cup of the apples in a medium bowl until combined."", ""Drizzle caramel sauce inside 4 (12-oz.) jars."", ""Spoon oat mixture evenly into prepared jars (about 1 1/4 cups each). Cover with plastic wrap and refrigerate for at least 8 hours or up to 4 days."", ""When ready to serve, top each with 1/4 cup remaining apples and drizzle with additional caramel sauce. Top as desired.""]",8,5
Granola Cups,Breakfast And Brunch,Breakfast Cereals,"These granola cups are a great grab-and-go breakfast option. You can tailor them to suit your own tastes—flavor them with the spices you prefer, swap out almonds for another nut, and use any kind of yogurt or fruit that you enjoy. For best results, wait until just before serving to fill them with yogurt.","[""1/4 cup unsalted butter"", ""1/2 cup maple syrup"", ""1 teaspoon vanilla extract"", ""1/2 teaspoon ground cinnamon"", ""1/4 teaspoon salt"", ""1/4 teaspoon ground nutmeg"", ""2 cups old fashioned oats"", ""1/2 cup sliced almonds"", ""1/2 cup flaked coconut"", ""2 tablespoons flax meal"", ""nonstick baking spray with flour (such as Baker's Joy\u00ae)"", ""1 cup plain whole milk Greek yogurt, or as needed"", ""1 cup fresh berries""]","[""Place butter and maple syrup in a large bowl and place into the microwave. Heat in 30 second intervals, stirring after every 30 seconds, until butter is melted, about 1 to 1 1/2 minutes. Remove bowl from microwave and add in vanilla, cinnamon, salt, and nutmeg. Stir until thoroughly combined. Add in oats, almonds, coconut, and flax meal. Stir until mixture is thoroughly combined."", ""Generously grease a standard muffin tin with nonstick baking spray with flour."", ""Divide oat mixture evenly between the muffin cups, about 2 heaped tablespoons per cup. With wet hands, press mixture into the bottom and up the sides of each cup. Place the pan into the fridge to chill for 15 minutes."", ""Preheat the oven to 350 degrees F (175 degrees C)."", ""Bake chilled granola cups in the preheated oven until the outside edges of cups turn golden brown, 25 to 30 minutes. Remove cups from the oven; cool to room temperature in the pan, about 30 minutes."", ""Use an offset spatula or butter knife to pop them out of the pan. To serve, fill each granola cup with yogurt and top with berries. Serve immediately.""]",13,6
Strawberries and Cream Oatmeal,Breakfast And Brunch,Breakfast Cereals,"This strawberries and cream oatmeal will keep you full until lunchtime or beyond. Packed with fiber and sweetened with brown sugar, this oatmeal makes your taste buds think they are eating dessert.","[""1 1/2 cups strawberries"", ""1 cup milk"", ""1 cup water"", ""2 tablespoons brown sugar,"", ""1 pinch salt"", ""1 cup oatmeal"", ""1 teaspoon vanilla extract""]","[""Place 3/4 cup strawberries, milk, water, brown sugar, and salt in a blender cup and blend until smooth."", ""Place oatmeal and strawberry mixture in a saucepan. Bring to a boil, reduce the heat, add remaining strawberries, and simmer until thick, about 5 minutes. Remove from heat; stir in vanilla.""]",7,2
Mexican Oatmeal,Breakfast And Brunch,Breakfast Cereals,"This Mexican oatmeal brings back memories of when my mother made it for us when we were kids. Made with milk, cinnamon, and vanilla, it's sweet, creamy, and comforting.","[""1 cup water"", ""1 cinnamon stick"", ""1/2 cup oats"", ""1/2 cup milk"", ""1 tablespoon piloncillo"", ""1/2 teaspoon ground cinnamon"", ""1/2 teaspoon vanilla extract""]","[""Bring water and cinnamon stick to a boil in a saucepan. Reduce heat and simmer for 5 minutes."", ""Add oats and cook for 1 minute. Add milk and cook until thickened, 1 to 2 minutes. Remove from heat. Stir in piloncillo, cinnamon, and vanilla.""]",7,2
Baked Oatmeal,Breakfast And Brunch,Breakfast Cereals,"This easy baked oatmeal recipe is made with wholesome oats, dried fruit, cinnamon, and milk for a comforting breakfast treat. This recipe hails from Pennsylvania Amish country. Everyone who tries it loves it! Serve topped with milk.","[""3 cups rolled oats"", ""1 cup brown sugar, or to taste"", ""2 teaspoons ground cinnamon"", ""2 teaspoons baking powder"", ""1 teaspoon salt, or to taste"", ""2 large eggs"", ""1 cup milk"", ""\u00bd cup melted butter"", ""2 teaspoons vanilla extract"", ""\u00be cup dried cranberries""]","[""Gather all ingredients. Preheat the oven to 350 degrees F (175 degrees C)."", ""Mix together oats, brown sugar, cinnamon, baking powder, and salt in a large bowl."", ""Beat in eggs, milk, melted butter, and vanilla extract. Stir in dried cranberries."", ""Spread into a 9x13-inch baking dish."", ""Bake in the preheated oven until top is golden, about 40 minutes. Remove from the oven and let cool for a few minutes before serving.""]",10,5
Easy Overnight Oats,Breakfast And Brunch,Breakfast Cereals,"I love overnight oats! They're easy to make-ahead for a quick, on-the-go breakfast. Though this recipe calls for blueberries, you can use almost any fruit. Bananas, peaches, or any variety of berries work best. Top with your favorite nuts or seeds.","[""\u2153 cup milk"", ""\u00bc cup Greek yogurt"", ""\u00bc cup rolled oats"", ""2 teaspoons honey"", ""2 teaspoons chia seeds"", ""\u00bc teaspoon ground cinnamon or more to taste"", ""\u00bc cup fresh blueberries""]","[""Gather all ingredients."", ""Combine milk, yogurt, oats, honey, chia seeds, and cinnamon in a 1/2-pint jar with a lid; cover and shake until combined."", ""Fold in blueberries."", ""Cover and refrigerate, 8 hours to overnight. Enjoy!""]",7,4
Maple and Brown Sugar Oatmeal,Breakfast And Brunch,Breakfast Cereals,"Maple and brown sugar oatmeal is super easy to make. I was tired of buying the packages, so I decided to experiment and this is it!","[""1 \u00bd cups water"", ""\u00be cup quick-cooking oats"", ""1 tablespoon packed dark brown sugar"", ""1 tablespoon maple syrup""]","[""Gather all ingredients."", ""Bring water to a boil in a small pot. Add oats and cook, stirring, for 1 minute."", ""Remove from heat and stir in brown sugar and maple syrup. Let sit until desired thickness is reached, 2 to 3 minutes.""]",4,3
Muesli,Breakfast And Brunch,Breakfast Cereals,This muesli recipe is a nutritious and delicious breakfast cereal. Use any dried fruit you desire. You can also use almonds in place of walnuts if you like. It's wonderful with hot or cold milk!,"[""4 \u00bd cups rolled oats"", ""1 cup raisins"", ""\u00bd cup toasted wheat germ"", ""\u00bd cup wheat bran"", ""\u00bd cup oat bran"", ""\u00bd cup chopped walnuts"", ""\u00bc cup packed brown sugar, or to taste"", ""\u00bc cup raw sunflower seeds""]","[""Combine oats, raisins, wheat germ, wheat bran, oat bran, walnuts, brown sugar, and sunflower seeds in a large bowl; mix well. Store muesli in an airtight container at room temperature for up to 2 months.""]",8,1
Cream of Wheat (Semolina) Porridge,Breakfast And Brunch,Breakfast Cereals,"This semolina porridge is my favorite recipe for making a delicious, creamy meal. I have always loved eating semolina porridge since I was a child. Hope you enjoy it!","[""2 cups milk"", ""1 cup water"", ""1 \u00bd teaspoons butter"", ""\u00bc teaspoon salt"", ""\u2153 cup semolina flour"", ""1 tablespoon white sugar""]","[""Combine milk, water, butter, and salt in a saucepan over medium-high heat. Bring to a boil, stirring gently. Remove from heat. Pour in semolina flour in a steady stream, whisking constantly to prevent lumps."", ""Place the saucepan back over medium heat; whisk until porridge comes to a boil, about 2 minutes. Reduce heat to low, cover, and cook, stirring occasionally, until porridge thickens, about 20 minutes. Remove saucepan from heat; stir in sugar."", ""Let porridge stand for 3 to 5 minutes before serving.""]",6,3
Yogurt Parfait,Breakfast And Brunch,Breakfast Cereals,"This yogurt parfait recipe makes a delicious breakfast, snack, or dessert! It looks great in a glass, but can also be made in a bowl. Use your favorite fruit, or whatever is in season.","[""2 cups vanilla yogurt"", ""1 cup granola"", ""8 blackberries""]","[""Layer 1 cup yogurt, 1/2 cup granola, and 4 blackberries in a large glass; repeat layers.""]",3,1
Porridge,Breakfast And Brunch,Breakfast Cereals,"This porridge made with oats, bananas, and cinnamon is a favorite winter breakfast of ours. It's hearty, warming, and tastes delicious!","[""2 \u00bd cups water"", ""1 cup rolled oats"", ""1 tablespoon white sugar, or to taste (Optional)"", ""1 teaspoon salt, or to taste (Optional)"", ""2 bananas, sliced"", ""1 pinch ground cinnamon"", ""\u00bd cup cold milk (Optional)""]","[""Combine water and oats in a saucepan; season to taste with sugar and salt. Add bananas and cinnamon. Bring to a boil, then reduce heat to low, and simmer until the liquid has been absorbed, stirring frequently."", ""Pour into bowls, and top each with a splash of cold milk.""]",7,2
Instant Pot Steel-Cut Oats,Breakfast And Brunch,Breakfast Cereals,"Steel-cut oats and the Instant Pot: two of my favorite discoveries from the last 10 years. Top with ground flax seed, hemp seed, cinnamon, fruit, honey, syrup, vanilla extract, nut butter, etc.","[""3 cups water"", ""1 cup steel-cut oats""]","[""Gather all ingredients."", ""Combine water and oats in a multi-functional pressure cooker (such as Instant Pot). Close and lock the lid. Select high pressure according to manufacturer's instructions; set timer for 3 minutes. Allow 10 to 15 minutes for pressure to build."", ""Release pressure using the natural-release method according to manufacturer's instructions, 10 to 40 minutes. Oats will thicken as they cool.""]",2,3
Overnight Chia Oats,Breakfast And Brunch,Breakfast Cereals,"These overnight chia oats are an easy and nutritious way to jumpstart your day. You can customize them by adding your favorite toppings (fruit, nuts, or seeds) or using flavored almond milk.","[""1 cup Almond Breeze Vanilla almondmilk"", ""\u00bd cup rolled oats"", ""\u00bd medium banana, mashed"", ""1 tablespoon chia seeds""]","[""Combine almond milk, oats, mashed banana, and chia seeds in a 1-pint jar. Seal with a lid and shake until well combined. Refrigerate until chia seeds have swelled and mixture is thick and gel-like, 8 hours to overnight.""]",4,1
